	days till	VIP	weekend	avg unsold price	avg sold price	Title	Price	startTime	endTime	link	subtitle	sold	# of ticket	Shuttle Passes	CAR CAMPING PASS	profit	ticketPrice	VIP Parking	PriceRange	profitpercent	profitloss	trend	junk
0	-12	0	1	841.3	0.0	Coachella Music Festival Weekend 1 with Beyoncé, Eminem, The Weeknd a... - Indio	841.3	2018-03-26T13:04:11.000Z	2018-04-25T13:04:11.000Z	http://www.ebay.com/itm/Coachella-Music-Festival-Weekend-1-Beyonce-Eminem-Weeknd-a-Indio-/222899167110	Empire Polo Field | General Admission Pass	0	1	0	0	412.3	841.3	0	33	0.961072261072	1	0	Coachella Music Festival  with Beyoncé, Eminem, The Weeknd a... - Indio
1	-5	0	2	487.833333333	0.0	Coachella Music Festival Weekend 2 with Beyoncé, Eminem, The Weeknd, ... - Indio	488.5	2018-03-26T23:04:19.000Z	2018-04-25T23:04:19.000Z	http://www.ebay.com/itm/Coachella-Music-Festival-Weekend-2-Beyonce-Eminem-Weeknd-Indio-/222899809574	Empire Polo Field | General Admission Pass	0	1	0	0	59.5	488.5	0	19	0.138694638695	1	0	Coachella Music Festival  with Beyoncé, Eminem, The Weeknd, ... - Indio
2	-5	0	2	487.833333333	0.0	Coachella TWO Gen Admission tickets with Shuttle (WEEKEND 2)	1100.0	2018-04-15T08:50:38.000Z	2018-04-25T08:50:38.000Z	http://www.ebay.com/itm/Coachella-TWO-Gen-Admission-tickets-Shuttle-WEEKEND-2-/282925805234	nan	0	2	1	0	46.0	475.0	0	19	0.107226107226	1	0	Coachella TWO Gen Admission tickets with Shuttle ()
3	-5	0	2	487.833333333	0.0	Coachella Weekend 2 - One GA ticket + Shuttle Pass	575.0	2018-04-18T00:49:02.000Z	2018-04-25T00:49:02.000Z	http://www.ebay.com/itm/Coachella-Weekend-2-One-GA-ticket-Shuttle-Pass-/263615024689	nan	0	1	1	0	71.0	500.0	0	20	0.165501165501	1	0	Coachella  - One GA ticket + Shuttle Pass
4	-5	1	2	450.0	0.0	COACHELLA VIP WEEKEND 2 SUNDAY ONLY	450.0	2018-04-18T04:14:12.000Z	2018-04-25T04:14:12.000Z	http://www.ebay.com/itm/COACHELLA-VIP-WEEKEND-2-SUNDAY-ONLY-/273165175703	nan	0	1	0	0	-549.0	450.0	0	18	-0.54954954955	-1	0	COACHELLA VIP  SUNDAY ONLY
5	-5	1	2	450.0	0.0	COACHELLA VIP WEEKEND 2 SUNDAY ONLY	450.0	2018-04-18T07:30:15.000Z	2018-04-25T07:30:15.000Z	http://www.ebay.com/itm/COACHELLA-VIP-WEEKEND-2-SUNDAY-ONLY-/273165383095	nan	0	1	0	0	-549.0	450.0	0	18	-0.54954954955	-1	0	COACHELLA VIP  SUNDAY ONLY
6	-4	0	2	592.7	0.0	coachella weekend 2 Ticket And Car Camping	690.0	2018-03-25T18:42:24.000Z	2018-04-24T18:42:24.000Z	http://www.ebay.com/itm/coachella-weekend-2-Ticket-And-Car-Camping-/132551487935	nan	0	1	0	1	148.0	577.0	0	23	0.344988344988	1	0	coachella  Ticket And Car Camping
7	-4	0	2	592.7	0.0	2 Coachella Wristband weekend 2 with Shuttle pass	1350.0	2018-04-17T06:34:26.000Z	2018-04-24T06:34:26.000Z	http://www.ebay.com/itm/2-Coachella-Wristband-weekend-2-Shuttle-pass-/253566930448	1350	0	2	1	0	171.0	600.0	0	24	0.398601398601	1	0	2 Coachella Wristband  with Shuttle pass
8	-4	0	2	592.7	0.0	Coachella 2018 Weekend 2 Ticket - 4/20-4/22  3-Day Wristband Pass 	1000.0	2018-04-17T18:46:52.000Z	2018-04-24T18:46:52.000Z	http://www.ebay.com/itm/Coachella-2018-Weekend-2-Ticket-4-20-4-22-3-Day-Wristband-Pass-/142761384617	nan	0	1	0	0	571.0	1000.0	0	40	1.331002331	1	0	Coachella   Ticket - -   Wristband Pass 
9	-4	0	2	592.7	0.0	2x Coachella Weekend 2 Tickets	975.0	2018-04-17T22:10:59.000Z	2018-04-24T22:10:59.000Z	http://www.ebay.com/itm/2x-Coachella-Weekend-2-Tickets-/332624140384	nan	0	2	0	0	58.5	487.5	0	19	0.136363636364	1	0	2x Coachella  Tickets
10	-4	0	2	592.7	0.0	(1) COACHELLA WEEKEND 2 GA WRISTBAND! See EMINEM LIVE!  Revivial!	299.0	2018-04-21T22:15:57.000Z	2018-04-24T22:15:57.000Z	http://www.ebay.com/itm/1-COACHELLA-WEEKEND-2-GA-WRISTBAND-See-EMINEM-LIVE-Revivial-/183190198727	nan	0	1	0	0	-130.0	299.0	0	11	-0.30303030303	-1	0	(1) COACHELLA  GA WRISTBAND! See EMINEM LIVE!  Revivial!
11	-4	1	2	740.82	0.0	2x VIP Coachella Weekend 2 Passes AND Car Camping Pass	1594.64	2018-04-14T18:38:26.000Z	2018-04-24T06:38:26.000Z	http://www.ebay.com/itm/2x-VIP-Coachella-Weekend-2-Passes-AND-Car-Camping-Pass-/112937721492	nan	0	2	0	1	-258.18	740.82	0	29	-0.258438438438	-1	0	2x VIP Coachella  Passes AND Car Camping Pass
12	-3	0	1	80.0	0.0	COACHELLA 2018 WEEKEND 1 SHUTTLE PASSES, 2 PASSES FOR SALE (4/13/18-4/15/18)	310.0	2018-04-09T17:17:29.000Z	2018-04-16T17:17:29.000Z	http://www.ebay.com/itm/COACHELLA-2018-WEEKEND-1-SHUTTLE-PASSES-2-PASSES-SALE-4-13-18-4-15-18-/202284378711	nan	0	2	1	0	-349.0	80.0	0	3	-0.81351981352	-1	23	COACHELLA   SHUTTLE PASSES, 2 PASSES FOR SALE (/18-/18)
13	-3	0	2	686.25	0.0	Coachella weekend 2	1300.0	2018-04-16T23:55:08.000Z	2018-04-23T23:55:08.000Z	http://www.ebay.com/itm/Coachella-weekend-2-/273163256766	nan	0	1	0	0	871.0	1300.0	0	52	2.0303030303	1	0	Coachella 
14	-3	0	2	686.25	0.0	Coachella 2018 Weekend 2 (APRIL 20-22) - 1 GA Wristbands in Original Box SHUTTLE	545.0	2018-04-20T05:35:07.000Z	2018-04-23T05:35:07.000Z	http://www.ebay.com/itm/Coachella-2018-Weekend-2-APRIL-20-22-1-GA-Wristbands-Original-Box-SHUTTLE-/302710871221	nan	0	1	1	0	41.0	470.0	0	18	0.0955710955711	1	0	Coachella   (APRIL -) - 1 GA Wristbands in Original Box SHUTTLE
15	-3	0	2	686.25	0.0	Coachella weekend 2 unregistered, can meet at the fest!	700.0	2018-04-20T19:19:36.000Z	2018-04-23T19:19:36.000Z	http://www.ebay.com/itm/Coachella-weekend-2-unregistered-can-meet-fest-/332627375900	nan	0	1	0	0	271.0	700.0	0	28	0.631701631702	1	0	Coachella  unregistered, can meet at the fest!
16	-3	0	2	686.25	0.0	Coachella Weekend 2 GA with Shuttle	350.0	2018-04-20T19:53:44.000Z	2018-04-23T19:53:44.000Z	http://www.ebay.com/itm/Coachella-Weekend-2-GA-Shuttle-/192517070076	nan	0	1	1	0	-154.0	275.0	0	11	-0.358974358974	-1	0	Coachella  GA with Shuttle
17	-3	1	2	450.0	0.0	COACHELLA VIP WEEKEND 2 SUNDAY ONLY	450.0	2018-04-18T08:43:05.000Z	2018-04-23T08:43:05.000Z	http://www.ebay.com/itm/COACHELLA-VIP-WEEKEND-2-SUNDAY-ONLY-/282929725485	nan	0	1	0	0	-549.0	450.0	0	18	-0.54954954955	-1	0	COACHELLA VIP  SUNDAY ONLY
